nm, %R
1100.000000, 3.433085
1098.000000, 3.431098
1096.000000, 3.433194
1094.000000, 3.431453
1092.000000, 3.432802
1090.000000, 3.438591
1088.000000, 3.438447
1086.000000, 3.439451
1084.000000, 3.438847
1082.000000, 3.441260
1080.000000, 3.438850
1078.000000, 3.438407
1076.000000, 3.438582
1074.000000, 3.440779
1072.000000, 3.439043
1070.000000, 3.439385
1068.000000, 3.440786
1066.000000, 3.440330
1064.000000, 3.440923
1062.000000, 3.444328
1060.000000, 3.442954
1058.000000, 3.442320
1056.000000, 3.443817
1054.000000, 3.444521
1052.000000, 3.443346
1050.000000, 3.446204
1048.000000, 3.446588
1046.000000, 3.448559
1044.000000, 3.445290
1042.000000, 3.448475
1040.000000, 3.447707
1038.000000, 3.447732
1036.000000, 3.446965
1034.000000, 3.447470
1032.000000, 3.451458
1030.000000, 3.449381
1028.000000, 3.450637
1026.000000, 3.446575
1024.000000, 3.449449
1022.000000, 3.447554
1020.000000, 3.453454
1018.000000, 3.448212
1016.000000, 3.450037
1014.000000, 3.451771
1012.000000, 3.455413
1010.000000, 3.458214
1008.000000, 3.457196
1006.000000, 3.455091
1004.000000, 3.456118
1002.000000, 3.455271
1000.000000, 3.458491
998.000000, 3.460374
996.000000, 3.458309
994.000000, 3.459894
992.000000, 3.463106
990.000000, 3.457809
988.000000, 3.467075
986.000000, 3.460601
984.000000, 3.462482
982.000000, 3.465545
980.000000, 3.464230
978.000000, 3.460913
976.000000, 3.455983
974.000000, 3.460789
972.000000, 3.461891
970.000000, 3.467890
968.000000, 3.466553
966.000000, 3.465935
964.000000, 3.468344
962.000000, 3.464581
960.000000, 3.467588
958.000000, 3.466677
956.000000, 3.467135
954.000000, 3.470194
952.000000, 3.464970
950.000000, 3.466056
948.000000, 3.466515
946.000000, 3.472608
944.000000, 3.469197
942.000000, 3.469039
940.000000, 3.468358
938.000000, 3.471972
936.000000, 3.466273
934.000000, 3.460642
932.000000, 3.468508
930.000000, 3.476018
928.000000, 3.468360
926.000000, 3.466464
924.000000, 3.468670
922.000000, 3.466083
920.000000, 3.465923
918.000000, 3.465178
916.000000, 3.465390
914.000000, 3.461195
912.000000, 3.456754
910.000000, 3.464410
908.000000, 3.466303
906.000000, 3.454496
904.000000, 3.445030
902.000000, 3.451410
900.000000, 3.450573
898.000000, 3.440358
896.000000, 3.454597
894.000000, 3.444894
892.000000, 3.441265
890.000000, 3.444062
888.000000, 3.410975
886.000000, 3.412160
884.000000, 3.413284
882.000000, 3.414499
880.000000, 3.414237
878.000000, 3.416271
876.000000, 3.415604
874.000000, 3.416378
872.000000, 3.417071
870.000000, 3.417820
868.000000, 3.419586
866.000000, 3.420865
864.000000, 3.420389
862.000000, 3.417492
860.000000, 3.418502
858.000000, 3.420547
856.000000, 3.420474
854.000000, 3.420945
852.000000, 3.420616
850.000000, 3.422719
848.000000, 3.424333
846.000000, 3.422996
844.000000, 3.422481
842.000000, 3.424604
840.000000, 3.425068
838.000000, 3.422471
836.000000, 3.423381
834.000000, 3.425944
832.000000, 3.425624
830.000000, 3.424832
828.000000, 3.426044
826.000000, 3.427826
824.000000, 3.427134
822.000000, 3.426536
820.000000, 3.429104
818.000000, 3.427401
816.000000, 3.427981
814.000000, 3.427834
812.000000, 3.430063
810.000000, 3.429655
808.000000, 3.427512
806.000000, 3.427146
804.000000, 3.428772
802.000000, 3.430852
800.000000, 3.430125
798.000000, 3.429642
796.000000, 3.430268
794.000000, 3.430700
792.000000, 3.430375
790.000000, 3.432578
788.000000, 3.435146
786.000000, 3.432681
784.000000, 3.436693
782.000000, 3.434054
780.000000, 3.435305
778.000000, 3.434383
776.000000, 3.436109
774.000000, 3.437130
772.000000, 3.435936
770.000000, 3.438228
768.000000, 3.438184
766.000000, 3.438735
764.000000, 3.438820
762.000000, 3.439796
760.000000, 3.440627
758.000000, 3.438646
756.000000, 3.441901
754.000000, 3.441769
752.000000, 3.443462
750.000000, 3.444504
748.000000, 3.444796
746.000000, 3.444685
744.000000, 3.444959
742.000000, 3.444634
740.000000, 3.444834
738.000000, 3.446012
736.000000, 3.446529
734.000000, 3.446345
732.000000, 3.447704
730.000000, 3.449225
728.000000, 3.447663
726.000000, 3.449080
724.000000, 3.450852
722.000000, 3.450914
720.000000, 3.451541
718.000000, 3.452371
716.000000, 3.451430
714.000000, 3.453145
712.000000, 3.453624
710.000000, 3.453564
708.000000, 3.454765
706.000000, 3.454370
704.000000, 3.456050
702.000000, 3.455393
700.000000, 3.457607
698.000000, 3.458184
696.000000, 3.457162
694.000000, 3.458310
692.000000, 3.459638
690.000000, 3.461113
688.000000, 3.461144
686.000000, 3.461265
684.000000, 3.462574
682.000000, 3.462888
680.000000, 3.462976
678.000000, 3.463912
676.000000, 3.465230
674.000000, 3.465330
672.000000, 3.465529
670.000000, 3.466939
668.000000, 3.466995
666.000000, 3.467368
664.000000, 3.468148
662.000000, 3.469245
660.000000, 3.469345
658.000000, 3.470543
656.000000, 3.471506
654.000000, 3.471182
652.000000, 3.471874
650.000000, 3.473627
648.000000, 3.474567
646.000000, 3.475047
644.000000, 3.475354
642.000000, 3.476214
640.000000, 3.476666
638.000000, 3.477555
636.000000, 3.478559
634.000000, 3.479509
632.000000, 3.479640
630.000000, 3.480497
628.000000, 3.481524
626.000000, 3.482330
624.000000, 3.482898
622.000000, 3.484048
620.000000, 3.485198
618.000000, 3.484551
616.000000, 3.485884
614.000000, 3.487492
612.000000, 3.488228
610.000000, 3.488408
608.000000, 3.488685
606.000000, 3.489406
604.000000, 3.491229
602.000000, 3.492291
600.000000, 3.492947
598.000000, 3.494057
596.000000, 3.495127
594.000000, 3.495518
592.000000, 3.496705
590.000000, 3.497666
588.000000, 3.498386
586.000000, 3.499087
584.000000, 3.500094
582.000000, 3.501435
580.000000, 3.502308
578.000000, 3.503259
576.000000, 3.504231
574.000000, 3.505399
572.000000, 3.505980
570.000000, 3.507173
568.000000, 3.508236
566.000000, 3.509372
564.000000, 3.510138
562.000000, 3.511241
560.000000, 3.512762
558.000000, 3.513374
556.000000, 3.514669
554.000000, 3.515210
552.000000, 3.516357
550.000000, 3.517187
548.000000, 3.518614
546.000000, 3.519619
544.000000, 3.521013
542.000000, 3.522109
540.000000, 3.523001
538.000000, 3.524521
536.000000, 3.525772
534.000000, 3.526803
532.000000, 3.527781
530.000000, 3.529439
528.000000, 3.530902
526.000000, 3.531897
524.000000, 3.533330
522.000000, 3.534778
520.000000, 3.536196
518.000000, 3.537693
516.000000, 3.539332
514.000000, 3.540797
512.000000, 3.542657
510.000000, 3.544574
508.000000, 3.545916
506.000000, 3.547596
504.000000, 3.549470
502.000000, 3.550992
500.000000, 3.552318
498.000000, 3.553754
