wavelength (eV);psi;tan(Psi);delta;cos(Delta)
5.061361409;11.36038577;0.200915961;176.0856373;-0.997667198
5.045214465;11.46794572;0.202869756;175.7496708;-0.997249759
5.029170219;11.44474141;0.202448131;176.4378142;-0.998067952
5.013227694;11.54669861;0.204301222;176.9801983;-0.998611388
4.997385926;11.43217108;0.202219755;176.7214383;-0.998363285
4.981643962;11.38818145;0.201420719;176.0730902;-0.997652224
4.966000862;11.35552295;0.200827664;177.0496461;-0.998674508
4.950455698;11.4267324;0.202120953;175.8480952;-0.997375603
4.935007553;11.37010535;0.201092453;176.8547188;-0.99849362
4.919655521;11.30901122;0.199983278;176.2665548;-0.997877779
4.904398709;11.36044117;0.200916967;176.4951546;-0.998129632
4.889236233;11.37149825;0.201117747;176.7635613;-0.998405061
4.874167221;11.33414117;0.20043946;176.696249;-0.998338046
4.859190811;11.2986452;0.199795128;177.0837429;-0.998704962
4.844306152;11.38918421;0.201438931;176.0742635;-0.997653627
4.829512404;11.30714064;0.199949325;176.9367845;-0.998571184
4.814808737;11.1527614;0.197148678;176.9620899;-0.998594688
4.80019433;11.23561473;0.198651376;176.6781288;-0.99831977
4.785668373;11.32788391;0.200325865;176.58581;-0.998225109
4.771230065;11.19854272;0.197978901;176.7073699;-0.998349213
4.756878615;11.23652978;0.198667977;177.0809206;-0.998702454
4.742613243;11.27391172;0.199346254;176.5510964;-0.998188845
4.728433175;11.3152073;0.200095747;176.2607026;-0.997871123
4.714337649;11.1377237;0.196876034;176.3787756;-0.9980034
4.700325911;11.26351196;0.199157538;176.8405297;-0.998480001
4.686397217;11.17810884;0.19760831;176.9668041;-0.998599045
4.67255083;11.24498374;0.198821355;176.7327446;-0.998374551
4.658786022;11.21567274;0.198289613;176.600882;-0.998240741
4.645102076;11.15578705;0.197203539;176.5786883;-0.998217699
4.63149828;11.20098723;0.198023238;176.6376265;-0.99827856
4.617973932;11.16622357;0.197392781;176.8737115;-0.998511753
4.604528339;11.26165968;0.199123927;177.0194422;-0.998647236
4.591160814;11.15536647;0.197195913;176.9924725;-0.99862265
4.57787068;11.16794963;0.197424081;176.2085217;-0.997811314
4.564657266;11.10597231;0.196300451;176.894561;-0.998531532
4.551519911;11.12781192;0.196696342;176.7005133;-0.998342332
4.538457958;11.08909872;0.19599462;176.6163896;-0.998256752
4.525470761;11.11389199;0.196444005;176.7906568;-0.998431648
4.51255768;11.10033378;0.19619825;176.6926397;-0.998334414
4.499718083;11.06264164;0.195515163;176.8165608;-0.998456857
4.486951343;11.1230689;0.196610359;176.5442804;-0.998181681
4.474256843;11.10727814;0.19632412;176.7509119;-0.998392573
4.46163397;11.12133439;0.196578916;176.7193091;-0.998361159
4.449082122;11.08426706;0.195907054;176.9008697;-0.998537491
4.436600698;11.05830742;0.195436626;176.8074367;-0.998448001
4.42418911;11.00836746;0.194531871;176.6807042;-0.998322374
4.411846772;11.00380527;0.194449234;176.8331243;-0.998472869
4.399573106;11.04956417;0.195278203;176.7781087;-0.998419363
4.387367541;11.05409745;0.195360342;177.1472876;-0.998760773
4.375229511;11.02538463;0.194840134;176.5152937;-0.998151058
4.363158457;11.07535575;0.195745558;176.8481036;-0.998487278
4.351153828;11.06442152;0.195547415;176.9760198;-0.998607543
4.339215075;10.98004485;0.194018891;177.0546702;-0.998679018
4.327341659;11.00981364;0.194558067;176.671566;-0.998313127
4.315533043;11.02847163;0.194896058;176.6835988;-0.998325298
4.3037887;10.9717033;0.193867827;177.0953872;-0.998715281
4.292108106;10.96781411;0.193797398;177.1186493;-0.998735772
4.280490743;10.95435029;0.193553596;176.8751543;-0.998513126
4.2689361;10.95204677;0.193511886;176.8623244;-0.998500894
4.257443669;10.95492258;0.193563958;176.9145885;-0.998550407
4.246012949;10.96796865;0.193800196;176.9358341;-0.998570297
4.234643446;10.97657233;0.193956004;176.7715648;-0.998412938
4.223334667;10.91316468;0.192807945;176.760495;-0.998402038
4.212086129;10.90796037;0.192713738;176.8820732;-0.998519701
4.200897352;10.90293261;0.19262273;176.966793;-0.998599035
4.189767859;10.92153235;0.192959422;176.7696671;-0.998411072
4.178697181;10.8880205;0.192352821;177.1457041;-0.998759397
4.167684854;10.90953536;0.192742248;177.2804925;-0.998873779
4.156730417;10.91513757;0.192843659;177.0724712;-0.998694934
4.145833414;10.87208812;0.192064475;176.9737653;-0.998605466
4.134993396;10.91080531;0.192765236;177.2823554;-0.998875321
4.124209916;10.87450782;0.192108265;176.9015515;-0.998538134
4.113482534;10.86081838;0.191860533;177.0042997;-0.998633459
4.102810812;10.8761307;0.192137635;177.1105209;-0.99872863
4.092194319;10.86196547;0.191881291;176.9474796;-0.998581141
4.081632627;10.84297646;0.191537689;177.2590772;-0.998855975
4.071125313;10.84445962;0.191564525;177.0241365;-0.998651493
4.060671957;10.83971221;0.191478628;177.2251709;-0.998827501
4.050272146;10.86134283;0.191870023;177.3483829;-0.998929297
4.039925469;10.84547523;0.191582901;177.0524528;-0.998677028
4.02963152;10.80442982;0.190840332;177.1116955;-0.998729664
4.019389896;10.81624354;0.191054038;177.1757195;-0.998785346
4.0092002;10.83619008;0.191414902;177.2294156;-0.998831085
