wavelength (eV);psi;tan(psi);delta;cos(delta)
5.061361409;4.088483482;0.07147886;167.9886088;-0.978106246
5.045214465;3.968469758;0.069373836;167.438451;-0.976062937
5.029170219;4.054047604;0.070874796;168.132838;-0.978627007
5.013227694;4.000522169;0.06993597;171.5502163;-0.98914503
4.997385926;4.05223057;0.070842923;169.0779742;-0.981885948
4.981643962;3.850328027;0.067302243;166.8431039;-0.973750417
4.966000862;3.929980888;0.068698877;170.1330044;-0.9852082
4.950455698;4.056884796;0.070924563;167.6673256;-0.976923929
4.935007553;3.95044002;0.06905765;170.867472;-0.987323858
4.919655521;3.959818579;0.069222119;168.2506011;-0.979047609
4.904398709;4.017710457;0.070237436;169.4691545;-0.983156658
4.889236233;3.926396637;0.068636025;169.2854129;-0.982565495
4.874167221;3.952686789;0.069097051;170.3655809;-0.985895677
4.859190811;3.851817159;0.067328351;170.2366038;-0.985516437
4.844306152;3.904199256;0.068246793;167.3717797;-0.9758092
4.829512404;3.85579844;0.067398153;170.5649577;-0.986472086
4.814808737;3.8059083;0.066523502;170.557916;-0.986451932
4.80019433;3.901612349;0.068201432;169.6115304;-0.983607779
4.785668373;3.940164521;0.068877456;168.6925048;-0.980589017
4.771230065;3.848672655;0.067273221;170.2924648;-0.985681302
4.756878615;3.787900076;0.066207815;170.8081416;-0.987158974
4.742613243;3.903257827;0.068230285;169.3781998;-0.982865287
4.728433175;3.884837397;0.067907298;169.1458672;-0.982109775
4.714337649;3.79575599;0.066345528;167.1694021;-0.975030901
4.700325911;3.719718776;0.065012704;169.8438025;-0.984330701
4.686397217;3.752501782;0.065587315;170.0018396;-0.984813328
4.67255083;3.77620265;0.066002764;169.7426446;-0.984017846
4.658786022;3.741525815;0.065394926;168.5063586;-0.979946824
4.645102076;3.712428674;0.064884931;168.6361442;-0.980395669
4.63149828;3.786652151;0.066185939;169.6315224;-0.983670638
4.617973932;3.708980283;0.064824492;169.9228143;-0.98457293
4.604528339;3.722654912;0.065064166;169.7395934;-0.984008362
4.591160814;3.77794809;0.06603336;169.8672838;-0.984402884
4.57787068;3.672208315;0.06418003;168.8862117;-0.981246305
4.564657266;3.706092658;0.064773882;169.829095;-0.984285405
4.551519911;3.672974291;0.064193453;169.2379941;-0.982411292
4.538457958;3.68185729;0.064349131;168.7859967;-0.980907655
4.525470761;3.662037536;0.064001787;169.6670017;-0.983781897
4.51255768;3.667149419;0.064091372;169.7758985;-0.98412103
4.499718083;3.666231821;0.064075291;169.1588496;-0.982152418
4.486951343;3.672072824;0.064177655;169.0268287;-0.981716422
4.474256843;3.646812352;0.063734973;169.578744;-0.983504433
4.46163397;3.616445795;0.063202842;169.7843778;-0.984147288
4.449082122;3.5979519;0.06287878;169.7197928;-0.983946746
4.436600698;3.568247102;0.0623583;169.0048538;-0.981643344
4.42418911;3.59712375;0.062864269;169.5407959;-0.983384414
4.411846772;3.578579961;0.062539346;170.1229673;-0.985178166
4.399573106;3.605510432;0.063011224;169.4654881;-0.98314496
4.387367541;3.597592899;0.062872489;169.3483757;-0.982769207
4.375229511;3.559836218;0.062210933;168.9510517;-0.981463816
4.363158457;3.552839556;0.062088347;170.1915979;-0.985382928
4.351153828;3.55150716;0.062065002;169.6137551;-0.98361478
4.339215075;3.518205506;0.061481561;169.8031526;-0.98420535
4.327341659;3.496299121;0.061097786;168.870816;-0.981194474
4.315533043;3.497540018;0.061119525;169.1258297;-0.98204386
4.3037887;3.508174499;0.061305827;169.9805663;-0.984748798
4.292108106;3.501919466;0.061196247;170.0801601;-0.985049733
4.280490743;3.519761967;0.061508829;169.3626368;-0.982815183
4.2689361;3.449713036;0.060281711;169.7306214;-0.983980457
4.257443669;3.498256518;0.061132077;169.5654836;-0.983462543
4.246012949;3.473021134;0.060690002;168.8315017;-0.981061799
4.234643446;3.457451661;0.060417267;169.3612475;-0.982810707
4.223334667;3.469031253;0.060620109;169.1377548;-0.982083103
4.212086129;3.457359843;0.060415659;169.238781;-0.982413856
4.200897352;3.479427943;0.060802235;170.1551212;-0.985274274
4.189767859;3.378632477;0.059036705;169.3591867;-0.982804066
4.178697181;3.463299485;0.060519704;170.456321;-0.986159492
4.167684854;3.441582878;0.060139298;170.2786775;-0.985640698
4.156730417;3.420108895;0.05976316;170.1260811;-0.985187486
4.145833414;3.414913366;0.059672157;169.8402027;-0.984319621
4.134993396;3.377728623;0.059020875;169.9130231;-0.984543015
4.124209916;3.388412674;0.059207999;169.2540184;-0.982463477
4.113482534;3.382955084;0.059112412;169.614225;-0.983616259
4.102810812;3.418800897;0.059740249;170.5966039;-0.986562479
4.092194319;3.387906713;0.059199137;169.3353399;-0.982727128
4.081632627;3.404613139;0.059491746;170.2633962;-0.985595627
4.071125313;3.34188989;0.058393215;169.6538065;-0.983740563
4.060671957;3.338487982;0.058333639;170.1735685;-0.985329273
4.050272146;3.356589305;0.058650647;170.5915439;-0.986548046
4.039925469;3.328453036;0.058157902;169.5082453;-0.983281122
4.02963152;3.319815282;0.058006636;170.0870395;-0.98507041
4.019389896;3.323337406;0.058068316;169.9723855;-0.984723947
4.0092002;3.32242938;0.058052414;170.4846642;-0.986241389
3.999062038;3.325121295;0.058099555;169.7085536;-0.98391172
3.98897502;3.314645479;0.057916103;170.053946;-0.984970812
3.97893876;3.309665153;0.057828888;170.1621756;-0.985295318
3.968952876;3.294811127;0.057568774;170.5243258;-0.986355586
3.959016988;3.326881611;0.058130382;170.6019425;-0.986577698
3.949130724;3.268901569;0.05711508;169.8523658;-0.984357045
3.939293712;3.299797778;0.057656096;170.1671257;-0.985310076
3.929505584;3.252575653;0.056829214;170.7074202;-0.986876637
3.919765978;3.27841778;0.057281712;170.4281606;-0.986077884
3.910074534;3.250781349;0.056797796;169.8908737;-0.984475234
3.900430894;3.246011159;0.056714273;170.7670237;-0.987044083
3.890834707;3.26119664;0.056980166;170.5632708;-0.98646726
3.881285623;3.224362969;0.056335233;170.1136221;-0.985150175
3.871783296;3.243151703;0.056664205;170.4664566;-0.986188807
3.862327383;3.223405796;0.056318474;170.6402781;-0.986686734
3.852917545;3.232642638;0.0564802;170.8734671;-0.98734046
3.843553446;3.231551283;0.056461092;170.3325335;-0.985798981
3.834234754;3.21707848;0.056207692;170.184628;-0.985362197
3.824961139;3.227238444;0.056385579;170.6878595;-0.986821452
3.815732275;3.208482083;0.056057184;170.3032041;-0.98571289
3.806547838;3.179496335;0.055549712;170.5382749;-0.986395637
3.797407509;3.203137401;0.055963609;170.0813969;-0.985053451
3.78831097;3.1798682;0.055556222;170.8615993;-0.987307584
3.779257908;3.183421829;0.055618436;170.7073687;-0.986876492
3.770248012;3.168318391;0.05535402;170.4544032;-0.986153942
3.761280973;3.144131467;0.054930595;171.0443809;-0.987809217
3.752356487;3.141777399;0.054889385;170.5716063;-0.986491102
3.743474252;3.196687762;0.05585069;170.8648281;-0.987316533
3.734633967;3.141650503;0.054887164;170.3262245;-0.985780484
3.725835338;3.144457649;0.054936305;170.9218083;-0.987473934
3.717078069;3.152673521;0.055080133;170.9737777;-0.987616643
3.70836187;3.182635012;0.055604661;170.9364537;-0.987514233
3.699686453;3.112361572;0.05437445;170.6731609;-0.986779908
3.691051532;3.129133562;0.054668046;170.6593925;-0.986740934
3.682456824;3.139343086;0.05484677;171.0879272;-0.987927245
3.673902049;3.10892068;0.054314217;170.9169699;-0.987460607
3.66538693;3.111484267;0.054359092;170.5948922;-0.986557597
3.656911191;3.113645722;0.054396929;170.9864518;-0.987651322
3.64847456;3.14888253;0.055013767;171.147427;-0.98808759
3.640076766;3.106978493;0.05428022;170.8836539;-0.987368645
3.631717542;3.081476953;0.053833833;170.4294444;-0.986081609
3.623396623;3.107011894;0.054280804;170.9329978;-0.987504729
3.615113747;3.102384468;0.054199803;171.3787619;-0.988700884
3.606868652;3.06721684;0.053584229;171.1003635;-0.987960847
3.598661082;3.087542713;0.053940008;171.1441554;-0.988078801
3.59049078;3.085262711;0.053900099;171.2449157;-0.988348008
3.582357494;3.100697611;0.054170275;170.9949526;-0.987674556
3.574260971;3.06077064;0.0534714;171.1930288;-0.98820976
3.566200964;3.048068994;0.053249083;170.5557111;-0.986445618
3.558177226;3.067657848;0.053591949;170.9957031;-0.987676606
3.550189513;3.057433494;0.053412989;171.1748622;-0.988161166
3.542237583;3.044039401;0.053178554;171.0419624;-0.987802645
3.534321196;3.027525209;0.052889516;170.9283429;-0.987491923
3.526440113;3.0538757;0.053350717;171.3627594;-0.988658979
3.5185941;3.050404662;0.053289964;170.6913614;-0.98683134
3.510782923;3.029340782;0.052921293;171.1635125;-0.988130755
3.50300635;3.018810467;0.052736991;171.4009815;-0.988758943
3.495264152;3.044427801;0.053185352;171.1532744;-0.98810329
3.487556102;3.030048726;0.052933683;171.5639508;-0.989180225
3.479881974;2.984144035;0.052130284;171.2534207;-0.988370591
3.472241544;3.00567972;0.052507182;171.5289318;-0.989090374
3.464634591;3.028882778;0.052913277;171.5610091;-0.989172692
3.457060896;2.990420925;0.052240135;171.4105574;-0.988783918
3.449520241;2.967223675;0.05183417;171.3670294;-0.988670168
3.442012411;3.011993209;0.052617677;171.421767;-0.988813119
3.43453719;2.98811925;0.052199854;171.7380105;-0.989621339
3.427094369;2.972884236;0.051933232;171.3806742;-0.988705887
3.419683735;2.98529933;0.052150503;171.2843941;-0.988452651
3.412305081;2.977239836;0.052009457;171.4797308;-0.988963512
3.4049582;2.990942763;0.052249268;171.311668;-0.98852467
3.397642888;2.958757253;0.051686008;171.1359291;-0.988056687
3.390358942;2.957307087;0.05166063;171.3410296;-0.988601951
3.38310616;3.008368754;0.052554244;171.489982;-0.988990004
3.375884342;2.982665227;0.052104404;171.4823914;-0.988970391
3.368693291;2.939266488;0.051344927;171.4280272;-0.988829411
3.36153281;2.936632;0.051298825;171.3226031;-0.988553482
3.354402706;2.959103494;0.051692067;171.3601171;-0.988652052
3.347302784;2.953418687;0.051592584;171.0536298;-0.987834333
3.340232855;2.930890438;0.051198353;171.5521735;-0.989150048
3.333192728;2.939669672;0.051351982;171.492182;-0.988995685
3.326182214;2.93231327;0.051223251;171.5828068;-0.989228452
3.319201129;2.915952123;0.05093695;171.342025;-0.988604567
3.312249287;2.937591423;0.051315614;171.582256;-0.989227045
3.305326504;2.913382702;0.050891989;171.5310547;-0.989095832
3.298432598;2.936075;0.051289078;170.9530473;-0.987559814
3.29156739;2.920412717;0.051015004;171.6658688;-0.98943962
3.2847307;2.90750662;0.050789167;171.4353483;-0.988848448
3.277922352;2.902777756;0.05070642;171.7356279;-0.989615362
3.271142169;2.889086924;0.050466859;170.7575418;-0.987017516
3.264389977;2.901261274;0.050679885;171.8239598;-0.989835788
3.257665602;2.899719796;0.050652912;171.6201471;-0.989323639
3.250968875;2.908887208;0.050813325;171.2761943;-0.988430955
3.244299623;2.909126421;0.050817511;171.59335;-0.989255371
3.237657679;2.885539204;0.050404782;171.5444737;-0.989130297
3.231042874;2.861258467;0.049979935;171.823245;-0.989834014
3.224455044;2.909382717;0.050821996;171.118651;-0.988010175
3.217894024;2.873530643;0.050194662;171.6686376;-0.989446623
3.211359649;2.869409481;0.050122554;171.6417964;-0.989378635
3.204851759;2.856174098;0.049890975;171.7039309;-0.989535691
3.198370192;2.901265633;0.050679961;171.3822566;-0.988710025
3.191914789;2.871019017;0.050150716;170.9817276;-0.987638401
3.185485392;2.865854737;0.050060356;171.9941785;-0.990253923
3.179081844;2.866482205;0.050071335;171.3842196;-0.988715158
3.172703989;2.864231091;0.050031947;171.2600761;-0.988388248
3.166351674;2.846666288;0.049724621;171.6310833;-0.989351438
3.160024745;2.86039552;0.049964836;171.8641737;-0.98993536
3.15372305;2.854341066;0.049858903;171.7210866;-0.98957885
3.147446438;2.845536179;0.049704848;171.3875396;-0.988723837
3.141194761;2.832537105;0.049477413;172.1599756;-0.990652794
3.13496787;2.851404072;0.049807515;171.3868842;-0.988722124
3.128765617;2.862002828;0.049992959;171.3741934;-0.988688928
3.122587857;2.845690897;0.049707555;171.7495519;-0.989650265
3.116434445;2.857509161;0.049914334;172.0078293;-0.990287077
3.110305237;2.830609966;0.049443696;171.731875;-0.989605945
3.104200091;2.832128364;0.049470262;171.8114573;-0.989804732
3.098118865;2.837917234;0.049571545;171.8659898;-0.989939846
3.092061419;2.798299221;0.048878404;171.9437375;-0.990130928
3.086027614;2.819783154;0.049254272;171.735102;-0.989614043
3.080017312;2.823205434;0.049314148;171.9187835;-0.990069797
3.074030376;2.820874581;0.049273368;172.1323858;-0.990586994
3.068066669;2.799086312;0.048892174;171.6475953;-0.989393342
3.062126057;2.79564618;0.048831989;171.7614621;-0.989680073
3.056208405;2.824567923;0.049337985;171.5783457;-0.989217052
3.050313582;2.804502553;0.048986932;172.0202702;-0.990317244
3.044441455;2.786647806;0.048674565;172.0848014;-0.990472969
3.038591893;2.795402301;0.048827723;171.961735;-0.990174901
3.032764766;2.807985628;0.049047869;171.9767812;-0.990211588
3.026959947;2.803296787;0.048965837;171.9747308;-0.990206593
3.021177306;2.780406617;0.048565378;172.1048813;-0.990521169
3.015416717;2.787361227;0.048687046;171.6832177;-0.989483464
3.009678054;2.78098628;0.048575519;171.9642889;-0.990181133
3.003961192;2.788809196;0.048712378;172.1955696;-0.990737343
2.998266007;2.774703375;0.048465603;171.7281724;-0.989596649
2.992592376;2.772777828;0.048431917;171.4290038;-0.988831951
2.986940178;2.783113995;0.048612742;172.251084;-0.990868449
2.981309289;2.776828958;0.048502789;172.4243318;-0.991271616
2.975699592;2.775601179;0.04848131;171.7957525;-0.989765655
2.970110965;2.765739377;0.048308786;171.4684123;-0.988934224
2.964543291;2.772313241;0.04842379;172.275413;-0.990925612
2.958996452;2.774324543;0.048458976;171.9209721;-0.990075166
2.95347033;2.757129424;0.048158164;171.9957852;-0.990257828
2.947964812;2.745783588;0.047959685;171.7826022;-0.989732876
2.94247978;2.740295508;0.04786368;172.2439947;-0.990851758
2.937015122;2.768632055;0.048359391;172.3475799;-0.991094124
2.931570723;2.745831366;0.04796052;172.2346901;-0.990829829
2.926146472;2.757437113;0.048163547;172.0538476;-0.990398429
2.920742257;2.75525856;0.048125436;172.3943566;-0.991202509
2.915357967;2.757229966;0.048159923;171.9377704;-0.990116327
2.909993492;2.749382711;0.048022646;172.2215806;-0.990798888
2.904648722;2.732533847;0.047727904;172.2749013;-0.990924411
2.89932355;2.748673413;0.048010238;171.9775922;-0.990213564
2.894017868;2.733823235;0.047750459;172.2485788;-0.990862552
2.888731569;2.744637632;0.047939638;171.8587213;-0.989921889
2.883464547;2.731696947;0.047713264;172.0869936;-0.990478237
2.878216696;2.721712999;0.047538616;171.8829113;-0.989981589
2.872987913;2.744245425;0.047932777;172.3398963;-0.991076257
2.867778094;2.726049723;0.047614477;172.2714817;-0.990916387
2.862587135;2.730177592;0.047686686;172.4449366;-0.991318963
2.857414934;2.712392836;0.047375582;172.1878515;-0.990719042
2.85226139;2.730376093;0.047690158;172.1576346;-0.990647219
2.847126402;2.722961762;0.04756046;172.1991393;-0.990745802
2.842009871;2.726374065;0.047620151;172.2424018;-0.990848006
2.836911696;2.706794199;0.047277648;172.3978771;-0.991210639
2.831831779;2.705436763;0.047253904;172.6184751;-0.991712641
2.826770022;2.716640798;0.04744989;172.0142011;-0.990302533
2.821726328;2.690356557;0.04699012;172.2505768;-0.990867255
2.816700601;2.690346871;0.046989951;172.5477657;-0.991553333
2.811692744;2.698675545;0.047135635;172.5451375;-0.991547382
2.806702663;2.703760449;0.047224581;172.2817026;-0.990940361
2.801730263;2.699036151;0.047141943;172.1251631;-0.99056973
2.79677545;2.709293959;0.047321375;172.397862;-0.991210604
2.791838131;2.708505515;0.047307583;172.4180125;-0.99125707
2.786918214;2.677445403;0.046764283;172.2807114;-0.990938037
2.782015607;2.685644;0.046907689;172.5830978;-0.991633125
2.777130218;2.692596297;0.047029297;172.6191427;-0.991714138
2.772261957;2.675490826;0.046730094;172.2637499;-0.99089823
2.767410734;2.689656847;0.046977881;171.8994997;-0.990022427
2.76257646;2.67300806;0.046686667;172.3718346;-0.991150406
2.757759046;2.679749033;0.046804577;172.6795733;-0.991849079
2.752958404;2.671945814;0.046668087;171.8492251;-0.989898404
2.748174447;2.695729832;0.047084109;172.5418226;-0.991539874
2.743407087;2.676830502;0.046753527;172.7298626;-0.991960534
2.738656239;2.681411997;0.046833664;172.3401962;-0.991076955
2.733921818;2.699667702;0.04715299;171.7202098;-0.989576646
2.729203737;2.669257674;0.046621068;172.1229992;-0.990564555
2.724501912;2.669303028;0.046621862;172.3104265;-0.991007566
2.71981626;2.678617432;0.046784783;172.4392481;-0.991305904
2.715146698;2.663194677;0.04651502;172.8138;-0.99214486
2.710493141;2.669619229;0.046627392;172.616938;-0.991709194
2.70585551;2.661292787;0.046481754;172.5120424;-0.991472273
2.701233721;2.653152217;0.046339368;172.7957065;-0.992105307
2.696627694;2.66679023;0.04657791;172.4760675;-0.991390254
2.692037348;2.657675239;0.046418479;172.335016;-0.991064899
2.687462603;2.666196485;0.046567525;172.5854199;-0.991638355
2.682903381;2.638215273;0.046078112;172.1521724;-0.990634207
2.678359601;2.659114273;0.046443649;172.2115221;-0.990775113
2.673831186;2.65369477;0.046348857;172.366538;-0.991138131
2.669318058;2.647856749;0.046246746;172.3718435;-0.991150427
2.66482014;2.643280106;0.046166698;171.9078944;-0.990043062
2.660337354;2.644688942;0.04619134;172.6875817;-0.991866879
2.655869625;2.637711698;0.046069305;172.7259452;-0.991951879
2.651416878;2.634967241;0.046021303;172.4978347;-0.991439928
2.646979035;2.639921464;0.046107954;172.5653488;-0.991593088
2.642556024;2.637498895;0.046065583;172.6277396;-0.991733402
2.63814777;2.623608111;0.045822631;172.7193488;-0.991937296
2.633754198;2.636110988;0.046041308;172.5156128;-0.991480392
2.629375236;2.640815568;0.046123592;172.332218;-0.991058385
2.625010812;2.623968277;0.04582893;172.4589817;-0.991351163
2.620660852;2.628982276;0.045916625;172.8584892;-0.992242128
2.616325285;2.630851502;0.045949318;172.8148549;-0.992147163
2.612004039;2.623963794;0.045828852;172.6403651;-0.991761653
2.607697045;2.605787536;0.045510955;172.6977612;-0.991889477
2.603404231;2.623860663;0.045827048;172.6843749;-0.991859754
2.599125527;2.623056263;0.045812979;172.477473;-0.991393466
2.594860865;2.608024058;0.04555007;172.4193767;-0.991260211
2.590610174;2.623872219;0.04582725;172.7524518;-0.992010349
2.586373387;2.614340371;0.04566054;172.7813427;-0.992073836
2.582150435;2.638138556;0.046076771;172.4849177;-0.991410468
2.577941252;2.617235463;0.045711174;172.3617093;-0.991126932
2.573745768;2.616059807;0.045690612;172.4722947;-0.99138163
2.569563919;2.594232247;0.045308861;172.6984867;-0.991891086
