wavelength(eV);psi;tan(psi);delta;cos(delta)
5.061361409;3.818898707;0.066751234;13.52219335;0.972279423
5.045214465;3.880445827;0.067830298;14.14036508;0.969700147
5.029170219;4.016696901;0.070219659;11.61091212;0.979536936
5.013227694;3.925558659;0.06862133;9.1678531;0.987225814
4.997385926;3.842336821;0.06716214;12.18336679;0.977477202
4.981643962;3.933924585;0.068768032;12.20728245;0.977389026
4.966000862;4.010016438;0.070102489;9.383148218;0.986620156
4.950455698;3.931369909;0.068723234;12.78177162;0.97521979
4.935007553;3.836246509;0.067055365;10.66415814;0.98272875
4.919655521;3.954688985;0.069132162;12.05145015;0.977960507
4.904398709;4.01349051;0.070163421;9.650634311;0.985848273
4.889236233;3.979636552;0.069569674;11.88701238;0.978555702
4.874167221;3.976565168;0.069515809;10.95135992;0.981788813
4.859190811;3.971198909;0.069421698;9.66820324;0.985796822
4.844306152;4.01822424;0.070246447;11.31647365;0.98055828
4.829512404;4.031434146;0.070478145;9.36190655;0.986680532
4.814808737;4.031368594;0.070476995;9.602388067;0.985989085
4.80019433;4.021793675;0.070309053;10.33420312;0.983778125
4.785668373;4.085065607;0.071418903;10.76031581;0.982416799
4.771230065;4.037080504;0.070577183;9.445617151;0.986441814
4.756878615;4.051290534;0.070826434;9.299115087;0.986858212
4.742613243;4.057855928;0.070941598;10.49304209;0.983277031
4.728433175;4.062036066;0.071014923;11.00009377;0.981626871
4.714337649;4.119078434;0.072015592;10.76860944;0.982389764
4.700325911;4.099667674;0.071675061;9.9923106;0.984831049
4.686397217;4.102891181;0.071731611;9.174224329;0.987208091
4.67255083;4.07343196;0.071214824;9.10366366;0.987403692
4.658786022;4.082692449;0.071377272;11.07360712;0.981381244
4.645102076;4.172037962;0.072944766;10.27123262;0.983974688
4.63149828;4.177525047;0.073041044;10.38192304;0.983628376
4.617973932;4.151900019;0.072591431;9.212604894;0.987101068
4.604528339;4.143920477;0.072451429;9.739303137;0.985587659
4.591160814;4.188923439;0.073241047;9.352953868;0.986705938
4.57787068;4.249886267;0.074310841;10.40273743;0.983562845
4.564657266;4.150846704;0.07257295;9.22655576;0.987062056
4.551519911;4.188357921;0.073231124;8.888212252;0.987991674
4.538457958;4.234013308;0.074032281;9.978293816;0.984873468
4.525470761;4.207284874;0.073563241;9.057464889;0.987530948
4.51255768;4.23632581;0.074072863;9.148964378;0.987278286
4.499718083;4.232095984;0.073998634;9.128811799;0.98733415
4.486951343;4.269263806;0.074650919;9.588434537;0.98602968
4.474256843;4.248260299;0.074282306;9.804314255;0.985395079
4.46163397;4.238764476;0.07411566;8.878342685;0.988018274
4.449082122;4.239728533;0.074132578;8.959532706;0.987798582
4.436600698;4.267647428;0.07462255;9.048535799;0.987555469
4.42418911;4.288193636;0.074983156;9.416374074;0.986525446
4.411846772;4.305253742;0.075282592;8.530119463;0.988938026
4.399573106;4.333810643;0.075783847;8.730115354;0.988414246
4.387367541;4.312817976;0.075415362;8.56182604;0.988855791
4.375229511;4.318564697;0.075516233;9.185599045;0.987176419
4.363158457;4.331057857;0.075735526;8.695939575;0.988504604
4.351153828;4.37671631;0.076537036;8.373136437;0.989340716
4.339215075;4.353000364;0.076120703;8.639118152;0.988654057
4.327341659;4.337595613;0.075850287;9.138916384;0.987306155
4.315533043;4.357766078;0.076204363;8.963176369;0.987788676
4.3037887;4.376690062;0.076536575;8.227472519;0.989707729
4.292108106;4.394015716;0.076840743;7.92775787;0.99044276
4.280490743;4.372728575;0.07646703;8.72122093;0.988437796
4.2689361;4.406267104;0.077055837;8.039519584;0.990171839
4.257443669;4.374837011;0.076504044;8.594312877;0.988771219
4.246012949;4.409900808;0.077119634;8.601681074;0.988751993
4.234643446;4.371701287;0.076448995;8.50416293;0.989005121
4.223334667;4.42553076;0.077394056;8.394989386;0.989285104
4.212086129;4.453671982;0.077888174;8.564848727;0.988847936
4.200897352;4.431290546;0.077495186;7.990624405;0.990290829
4.189767859;4.426863707;0.07741746;8.341133245;0.989421899
4.178697181;4.449838361;0.077820859;7.885814318;0.990543462
4.167684854;4.459189149;0.077985051;7.40209556;0.991666451
4.156730417;4.443069056;0.077701998;7.947709425;0.990394672
4.145833414;4.471729425;0.078205255;7.812663335;0.990717821
4.134993396;4.470373914;0.078181452;7.471435521;0.991509811
4.124209916;4.471664556;0.078204116;8.422736967;0.989214284
4.113482534;4.476345376;0.078286312;7.856346592;0.990613894
4.102810812;4.496481891;0.078639924;7.506378523;0.991430324
