nm, %T
1100.000000, 92.242773
1098.000000, 92.242550
1096.000000, 92.244482
1094.000000, 92.241690
1092.000000, 92.246441
1090.000000, 92.244886
1088.000000, 92.236666
1086.000000, 92.235716
1084.000000, 92.238695
1082.000000, 92.242577
1080.000000, 92.237022
1078.000000, 92.234390
1076.000000, 92.232829
1074.000000, 92.230036
1072.000000, 92.232655
1070.000000, 92.232377
1068.000000, 92.230823
1066.000000, 92.228421
1064.000000, 92.229985
1062.000000, 92.228980
1060.000000, 92.227732
1058.000000, 92.227707
1056.000000, 92.226472
1054.000000, 92.224964
1052.000000, 92.227011
1050.000000, 92.224142
1048.000000, 92.226220
1046.000000, 92.224916
1044.000000, 92.223627
1042.000000, 92.222447
1040.000000, 92.220716
1038.000000, 92.221668
1036.000000, 92.219783
1034.000000, 92.215381
1032.000000, 92.216417
1030.000000, 92.214195
1028.000000, 92.216126
1026.000000, 92.213972
1024.000000, 92.211567
1022.000000, 92.210850
1020.000000, 92.211106
1018.000000, 92.209900
1016.000000, 92.209421
1014.000000, 92.207879
1012.000000, 92.205816
1010.000000, 92.203539
1008.000000, 92.201574
1006.000000, 92.200061
1004.000000, 92.197959
1002.000000, 92.196622
1000.000000, 92.194257
998.000000, 92.191465
996.000000, 92.189025
994.000000, 92.189890
992.000000, 92.185879
990.000000, 92.183160
988.000000, 92.178246
986.000000, 92.175412
984.000000, 92.173521
982.000000, 92.170760
980.000000, 92.165437
978.000000, 92.159914
976.000000, 92.156425
974.000000, 92.154124
972.000000, 92.149187
970.000000, 92.144273
968.000000, 92.140883
966.000000, 92.137880
964.000000, 92.133739
962.000000, 92.132484
960.000000, 92.131658
958.000000, 92.132281
956.000000, 92.131842
954.000000, 92.131778
952.000000, 92.134855
950.000000, 92.138353
948.000000, 92.145186
946.000000, 92.146433
944.000000, 92.149819
942.000000, 92.156501
940.000000, 92.157142
938.000000, 92.161432
936.000000, 92.164381
934.000000, 92.166823
932.000000, 92.166857
930.000000, 92.166789
928.000000, 92.166215
926.000000, 92.167680
924.000000, 92.166706
922.000000, 92.163945
920.000000, 92.163415
918.000000, 92.163261
916.000000, 92.162391
914.000000, 92.162158
912.000000, 92.160737
910.000000, 92.159942
908.000000, 92.158934
906.000000, 92.155626
904.000000, 92.154068
902.000000, 92.155667
900.000000, 92.155553
898.000000, 92.153289
896.000000, 92.151040
894.000000, 92.152062
892.000000, 92.150669
890.000000, 92.150344
888.000000, 92.147538
886.000000, 92.143986
884.000000, 92.143966
882.000000, 92.142747
880.000000, 92.141997
878.000000, 92.143261
876.000000, 92.141000
874.000000, 92.137848
872.000000, 92.134588
870.000000, 92.133805
868.000000, 92.135039
866.000000, 92.135553
864.000000, 92.134200
862.000000, 92.129815
860.000000, 92.310249
858.000000, 92.369005
856.000000, 92.471965
854.000000, 92.275299
852.000000, 92.357017
850.000000, 92.368282
848.000000, 92.318309
846.000000, 92.294997
844.000000, 92.312727
842.000000, 92.337999
840.000000, 92.349513
838.000000, 92.278107
836.000000, 92.326694
834.000000, 92.295547
832.000000, 92.310375
830.000000, 92.291968
828.000000, 92.301000
826.000000, 92.319133
824.000000, 92.328937
822.000000, 92.324923
820.000000, 92.298591
818.000000, 92.271803
816.000000, 92.248728
814.000000, 92.241170
812.000000, 92.293420
810.000000, 92.276362
808.000000, 92.290018
806.000000, 92.275996
804.000000, 92.243454
802.000000, 92.246131
800.000000, 92.262836
798.000000, 92.275709
796.000000, 92.289808
794.000000, 92.291342
792.000000, 92.267832
790.000000, 92.260081
788.000000, 92.293542
786.000000, 92.272469
784.000000, 92.215487
782.000000, 92.260178
780.000000, 92.256848
778.000000, 92.230228
776.000000, 92.253825
774.000000, 92.258943
772.000000, 92.271082
770.000000, 92.244195
768.000000, 92.245564
766.000000, 92.227431
764.000000, 92.238544
762.000000, 92.235420
760.000000, 92.197098
758.000000, 92.240065
756.000000, 92.252404
754.000000, 92.247422
752.000000, 92.234954
750.000000, 92.195020
748.000000, 92.200077
746.000000, 92.214926
744.000000, 92.220103
742.000000, 92.228934
740.000000, 92.219520
