wl (nm);T;Lower Envelope
1100;71.92764;69.8936
1098;71.77336;69.8925
1096;71.62284;69.89143
1094;71.47474;69.89038
1092;71.33598;69.88936
1090;71.20083;69.88836
1088;71.07091;69.88738
1086;70.94478;69.88642
1084;70.83033;69.88547
1082;70.72018;69.88455
1080;70.6156;69.88364
1078;70.51808;69.88275
1076;70.42565;69.88187
1074;70.33814;69.88101
1072;70.26099;69.88016
1070;70.18833;69.87931
1068;70.12615;69.87848
1066;70.06732;69.87766
1064;70.01775;69.87685
1062;69.97647;69.87604
1060;69.94067;69.87523
1058;69.91125;69.87444
1056;69.89103;69.87364
1054;69.87745;69.87285
1052;69.87206;69.87206
1050;69.87242;69.87127
1048;69.88385;69.87047
1046;69.90225;69.86968
1044;69.92956;69.86888
1042;69.96406;69.86808
1040;70.0056;69.86727
1038;70.05612;69.86646
1036;70.11627;69.86563
1034;70.18255;69.8648
1032;70.2572;69.86396
1030;70.34029;69.86311
1028;70.43507;69.86224
1026;70.53716;69.86137
1024;70.64857;69.86047
1022;70.76869;69.85957
1020;70.89808;69.85864
1018;71.03725;69.8577
1016;71.18363;69.85674
1014;71.33818;69.85576
1012;71.504;69.85476
1010;71.67622;69.85373
1008;71.85842;69.85269
1006;72.05058;69.85161
1004;72.25116;69.85052
1002;72.46318;69.84939
1000;72.68209;69.84824
998;72.90893;69.84706
996;73.14657;69.84585
994;73.39468;69.84461
992;73.65078;69.84334
990;73.91652;69.84203
988;74.19308;69.84069
986;74.48013;69.83932
984;74.77324;69.8379
982;75.07122;69.83645
980;75.37821;69.83497
978;75.68991;69.83344
976;76.01511;69.83187
974;76.3493;69.83026
972;76.69086;69.8286
970;77.03542;69.8269
968;77.39048;69.82516
966;77.75055;69.82337
964;78.12078;69.82153
962;78.49556;69.81964
960;78.88087;69.8177
958;79.27296;69.81572
956;79.67214;69.81368
954;80.07299;69.81158
952;80.4826;69.80943
950;80.89646;69.80723
948;81.30777;69.80497
946;81.72082;69.80266
944;82.13429;69.80028
942;82.55358;69.79785
940;82.97408;69.79535
938;83.39791;69.79279
936;83.82075;69.79017
934;84.23896;69.78748
932;84.65313;69.78473
930;85.06099;69.78192
928;85.46312;69.77903
926;85.86385;69.77608
924;86.25477;69.77306
922;86.63668;69.76996
920;87.01378;69.7668
918;87.37404;69.76356
916;87.72612;69.76024
914;88.06485;69.75686
912;88.39504;69.75339
910;88.71396;69.74985
908;89.0114;69.74623
906;89.29671;69.74253
904;89.56851;69.73875
902;89.8237;69.73488
900;90.05698;69.73094
898;90.26502;69.72691
896;90.45113;69.72279
894;90.61672;69.71859
892;90.75723;69.7143
890;90.87453;69.70992
888;90.96421;69.70546
886;91.02916;69.7009
884;91.07069;69.69625
882;91.08442;69.6915
880;91.07018;69.68667
878;91.0296;69.68173
876;90.95906;69.67671
874;90.85807;69.67158
872;90.72521;69.66636
870;90.56489;69.66103
868;90.37546;69.65561
866;90.15814;69.65008
864;89.91197;69.64445
862;89.63545;69.63872
860;89.52432;69.63288
858;89.20199;69.62693
856;88.86191;69.62088
854;88.45004;69.61472
852;88.1217;69.60845
850;87.60924;69.60207
848;87.08468;69.59557
846;86.66894;69.58897
844;86.11917;69.58225
842;85.556;69.57541
840;85.10882;69.56846
838;84.48807;69.56139
836;83.98966;69.5542
834;83.42569;69.5469
832;82.86082;69.53947
830;82.26513;69.53192
828;81.6807;69.52425
826;81.11033;69.51645
824;80.50877;69.50853
822;79.94172;69.50048
820;79.35343;69.49231
818;78.76326;69.48401
816;78.21054;69.47557
814;77.6363;69.46701
812;77.08271;69.45832
810;76.50149;69.44949
808;75.9718;69.44053
806;75.47371;69.43143
804;74.9515;69.4222
802;74.45116;69.41283
800;73.98584;69.40332
798;73.54333;69.39367
796;73.09486;69.38388
794;72.69495;69.37395
792;72.27421;69.36388
790;71.92315;69.35366
788;71.54181;69.3433
786;71.2106;69.33279
784;70.89262;69.32214
782;70.63091;69.31134
780;70.34474;69.30038
778;70.09544;69.28928
