nm, %T
1100.000000, 71.927638
1098.000000, 71.773362
1096.000000, 71.622840
1094.000000, 71.474736
1092.000000, 71.335980
1090.000000, 71.200830
1088.000000, 71.070913
1086.000000, 70.944777
1084.000000, 70.830334
1082.000000, 70.720184
1080.000000, 70.615602
1078.000000, 70.518085
1076.000000, 70.425650
1074.000000, 70.338136
1072.000000, 70.260993
1070.000000, 70.188331
1068.000000, 70.126153
1066.000000, 70.067323
1064.000000, 70.017752
1062.000000, 69.976470
1060.000000, 69.940666
1058.000000, 69.911255
1056.000000, 69.891033
1054.000000, 69.877455
1052.000000, 69.872058
1050.000000, 69.872417
1048.000000, 69.883850
1046.000000, 69.902248
1044.000000, 69.929561
1042.000000, 69.964058
1040.000000, 70.005601
1038.000000, 70.056119
1036.000000, 70.116272
1034.000000, 70.182555
1032.000000, 70.257204
1030.000000, 70.340293
1028.000000, 70.435070
1026.000000, 70.537159
1024.000000, 70.648567
1022.000000, 70.768695
1020.000000, 70.898082
1018.000000, 71.037250
1016.000000, 71.183635
1014.000000, 71.338184
1012.000000, 71.504004
1010.000000, 71.676217
1008.000000, 71.858417
1006.000000, 72.050585
1004.000000, 72.251158
1002.000000, 72.463185
1000.000000, 72.682092
998.000000, 72.908928
996.000000, 73.146574
994.000000, 73.394684
992.000000, 73.650779
990.000000, 73.916516
988.000000, 74.193083
986.000000, 74.480134
984.000000, 74.773244
982.000000, 75.071217
980.000000, 75.378211
978.000000, 75.689915
976.000000, 76.015114
974.000000, 76.349298
972.000000, 76.690860
970.000000, 77.035421
968.000000, 77.390478
966.000000, 77.750551
964.000000, 78.120783
962.000000, 78.495563
960.000000, 78.880872
958.000000, 79.272965
956.000000, 79.672139
954.000000, 80.072993
952.000000, 80.482596
950.000000, 80.896460
948.000000, 81.307773
946.000000, 81.720816
944.000000, 82.134291
942.000000, 82.553578
940.000000, 82.974076
938.000000, 83.397910
936.000000, 83.820746
934.000000, 84.238957
932.000000, 84.653126
930.000000, 85.060985
928.000000, 85.463120
926.000000, 85.863854
924.000000, 86.254775
922.000000, 86.636676
920.000000, 87.013777
918.000000, 87.374043
916.000000, 87.726116
914.000000, 88.064851
912.000000, 88.395038
910.000000, 88.713957
908.000000, 89.011396
906.000000, 89.296713
904.000000, 89.568507
902.000000, 89.823698
900.000000, 90.056983
898.000000, 90.265023
896.000000, 90.451135
894.000000, 90.616718
892.000000, 90.757226
890.000000, 90.874532
888.000000, 90.964211
886.000000, 91.029160
884.000000, 91.070687
882.000000, 91.084416
880.000000, 91.070183
878.000000, 91.029595
876.000000, 90.959056
874.000000, 90.858072
872.000000, 90.725213
870.000000, 90.564894
868.000000, 90.375456
866.000000, 90.158141
864.000000, 89.911975
862.000000, 89.635450
860.000000, 89.524318
858.000000, 89.201993
856.000000, 88.861909
854.000000, 88.450035
852.000000, 88.121699
850.000000, 87.609244
848.000000, 87.084685
846.000000, 86.668936
844.000000, 86.119170
842.000000, 85.556004
840.000000, 85.108823
838.000000, 84.488066
