wl,n
0.25,3.04958
0.255,3.079132
0.26,3.10252
0.265,3.119809
0.27,3.13113
0.275,3.136674
0.28,3.136685
0.285,3.131452
0.29,3.121301
0.295,3.106589
0.3,3.087695
0.305,3.065014
0.31,3.038957
0.315,3.009942
0.32,2.9784
0.325,2.944769
0.33,2.909504
0.335,2.873078
0.34,2.836018
0.345,2.798877
0.35,2.762242
0.355,2.726899
0.36,2.69398
0.365,2.665907
0.37,2.642547
0.375,2.622007
0.38,2.603584
0.385,2.586864
0.39,2.571562
0.395,2.557471
0.4,2.544428
0.405,2.532304
0.41,2.520995
0.415,2.510414
0.42,2.500485
0.425,2.491147
0.43,2.482346
0.435,2.474034
0.44,2.46617
0.445,2.458718
0.45,2.451645
0.455,2.444923
0.46,2.438526
0.465,2.43243
0.47,2.426616
0.475,2.421063
0.48,2.415755
0.485,2.410676
0.49,2.405812
0.495,2.40115
0.5,2.396677
0.505,2.392383
0.51,2.388258
0.515,2.384291
0.52,2.380475
0.525,2.376801
0.53,2.373261
0.535,2.369849
0.54,2.366559
0.545,2.363383
0.55,2.360317
0.555,2.357355
0.56,2.354492
0.565,2.351724
0.57,2.349046
0.575,2.346454
0.58,2.343944
0.585,2.341513
0.59,2.339157
0.595,2.336873
0.6,2.334657
0.605,2.332508
0.61,2.330422
0.615,2.328396
0.62,2.326429
0.625,2.324518
0.63,2.32266
0.635,2.320854
0.64,2.319098
0.645,2.317389
0.65,2.315726
0.655,2.314108
0.66,2.312532
0.665,2.310998
0.67,2.309503
0.675,2.308046
0.68,2.306626
0.685,2.305242
0.69,2.303892
0.695,2.302575
0.7,2.301291
0.705,2.300037
0.71,2.298814
0.715,2.297619
0.72,2.296453
0.725,2.295313
0.73,2.2942
0.735,2.293113
0.74,2.29205
0.745,2.291011
0.75,2.289996
0.755,2.289002
0.76,2.288031
0.765,2.287081
0.77,2.286151
0.775,2.285241
0.78,2.284351
0.785,2.283479
0.79,2.282626
0.795,2.28179
0.8,2.280972
0.805,2.28017
0.81,2.279384
0.815,2.278615
0.82,2.277861
0.825,2.277121
0.83,2.276397
0.835,2.275686
0.84,2.27499
0.845,2.274306
0.85,2.273636
0.855,2.272979
0.86,2.272334
0.865,2.271701
0.87,2.27108
0.875,2.270471
0.88,2.269872
0.885,2.269285
0.89,2.268708
0.895,2.268142
0.9,2.267586
0.905,2.26704
0.91,2.266503
0.915,2.265976
0.92,2.265458
0.925,2.264949
0.93,2.264449
0.935,2.263957
0.94,2.263474
0.945,2.262999
0.95,2.262532
0.955,2.262073
0.96,2.261621
0.965,2.261177
0.97,2.260741
0.975,2.260311
0.98,2.259888
0.985,2.259472
0.99,2.259063
0.995,2.258661
1,2.258265
1.005,2.257875
1.01,2.257491
1.015,2.257113
1.02,2.256741
1.025,2.256375
1.03,2.256014
1.035,2.255659
1.04,2.25531
1.045,2.254965
1.05,2.254626
1.055,2.254292
1.06,2.253963
1.065,2.253639
1.07,2.253319
1.075,2.253005
1.08,2.252694
1.085,2.252389
1.09,2.252087
1.095,2.25179
1.1,2.251498
1.105,2.251209
1.11,2.250925
1.115,2.250644
1.12,2.250368
1.125,2.250095
1.13,2.249826
1.135,2.249561
1.14,2.2493
1.145,2.249042
1.15,2.248787
1.155,2.248536
1.16,2.248289
1.165,2.248044
1.17,2.247803
1.175,2.247566
1.18,2.247331
1.185,2.247099
1.19,2.246871
1.195,2.246645
1.2,2.246423
1.205,2.246203
1.21,2.245986
